8752.63,55
8752.86,54
8753.32,53
8753.78,52
8754.01,51
8754.47,50
8754.93,49
8755.16,48
8755.62,47
8756.08,46
8756.54,45
8756.77,44
8757.0,43
8757.46,42
8757.7,41
8757.93,40
8758.16,39
8758.39,38
8758.62,37
8759.08,36
8759.31,30
8759.54,17
8759.77,15
8760.0,0
