ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
HS72-M-360-400W;0.186;Monocristallin;18.6 ~ 20.32;360 ~ 400;22;Chine;1983x1007x40;66.96
Iberian SolarIBS72P;0.270;Polycristallin;17.52;340;22.5;Espagne;1956x992x40;91.80000000000001
QSUN-108MS-390-410W;0.254;Monocristallin;19.9 ~ 21;390 ~ 410;22;Chine;1722x1134x30;99.06
QS360-450W;0.209;Monocristallin;19.76 ~ 20.7;360 ~ 450;--;Chine;--;75.24
MONO PERC 360W-380W 120HALF-CELLS (16...;0.262;Monocristallin;19.5 ~ 20.5;360 ~ 380;20;Chine;1755x1038x35;94.32000000000001
DHM-60X10/FS 450-470W;0.248;Monocristallin;20.85 ~ 21.78;450 ~ 470;23.8;Chine;1903x1134x30;111.6
NS-535-550S8;0.219;Monocristallin;20.7 ~ 21.28;535 ~ 550;28.4;Chine;2279x1134x35;117.165
Twin 3.0 JC535-555S-Abcp;0.230;Monocristallin;20.71 ~ 21.48;535 ~ 555;28.6;Chine;2279x1134x35;123.05000000000001
TD-(430-450)MB-144HC;0.186;PERC;19.78 ~ 20.7;430 ~ 450;23.5;Chine;2094x1038x35;79.98
OLV-520~545-72M-HEAH Silver border / ...;0.227;Monocristallin;20.3 ~ 21.3;520 ~ 545;28.5;Chine;2278x1134x35;118.04
AS-7M144-HC-525W~550W;0.233;Monocristallin;20.31 ~ 21.28;525 ~ 550;29;Chine;2279x1134x35;122.325
Star Series NKM-144M6 435-455;0.219;Monocristallin;20 ~ 20.9;435 ~ 455;25.5;Chine;2094x1038x35;95.265
OS-HM72-540-550W;0.252;Monocristallin;19.6 ~ 21.2;540 ~ 550;27;Chine;2278x1134x35;136.08
HW-M12/132H 650-670;0.248;Monocristallin;20.9 ~ 21.6;650 ~ 670;35.7;Chine;2384x1303x35;161.2
AEG SolarAS-M3207U-S(G12);0.372;Monocristallin;20.7 ~ 20.9;430 ~ 435;21.8;Tchèque;1899x1096x30;159.96
SUN 66M-H12 650-670W;0.190;Monocristallin;20.92 ~ 21.57;650 ~ 670;34.5;Chine;2384x1303x35;123.5
FSM 340-375W Transparent;0.257;Monocristallin;17.3 ~ 19.1;340 ~ 375;26;Chine;1982x992x25;87.38
IRIS PS-M144(HC) 535-550W;0.274;PERC;20.7 ~ 21.3;535 ~ 550;29;Jordanie;2278x1134x35;146.59
ESM 455H;0.209;Monocristallin;21.5;455;--;Chine;2094x1038x35;95.095
SR-72MHLPro 540-560W Aquaman Series;0.245;Monocristallin;20.93 ~ 21.7;540 ~ 560;28;Chine;2278x1133x35;132.3
JFS1-144-166 435-455W;0.199;Monocristallin;20.01 ~ 20.93;435 ~ 455;23.5;Chine;2094x1038x35;86.565
9BB 166 LNSU-435-455M Half Cell;0.246;Monocristallin;19.98 ~ 20.9;435 ~ 455;23;Chine;2095x1039x35;107.01
AXIbipremium XQ HC MT 650-670;0.310;Bifacial;20.93 ~ 21.58;650 ~ 670;34;Allemagne;2384x1303x35;201.5
PG-GSP100-500W;0.857;Monocristallin;--;100 ~ 500;--;Chine;--;85.7
NES144/525-550W;0.228;Monocristallin;20.31 ~ 21.28;525 ~ 550;28.6;Chine;2279x1134x35;119.7
TP144-525-550M/MB-8;0.205;PERC;20.3 ~ 21.5;525 ~ 555;28.6;Chine;2279x1134x35;107.625
Trina SolarVertex S TSM-DE09 390-405W;0.310;Monocristallin;20.3 ~ 21.1;390 ~ 405;21;Pologne;1754x1096x30;120.9
RT100WM;0.171;Monocristallin;14.9;100;5.8;Chine;1200x540x30;17.1
21 Series MBB Half Cell Mono 655-675W;0.238;Monocristallin;21.1 ~ 21.7;655 ~ 675;33.2;Chine;2712x1303x35;155.89
MSMDxxxM10-72 530W-550W;0.300;Monocristallin;20.4 ~ 21.2;530 ~ 550;29;Allemagne;2279x1134x35;159.0
SL4M144 435-450W;0.238;PERC;20 ~ 20.7;435 ~ 450;23;Chine;2094x1038x30;103.53
JMPV-TV2/66-660-670(R);0.253;HJT, Bifacial;21.25 ~ 21.57;660 ~ 670;39;Chine;2384x1303x35;166.98
(5BB)315-335W 60 Cells Full Black Sol...;0.252;Monocristallin;18.96 ~ 20.16;315 ~ 335;19.5;Chine;1658x1002x35;79.38
DMEGC Solar EnergyDM335G1-60HBB;0.251;Monocristallin;18.96 ~ 19.85;320 ~ 335;18.8;Pays-Bas;1684x1002x35;80.32
Luxor SolarEco Line Half Cell M144/440-460W;0.325;Monocristallin;19.68 ~ 20.58;440 ~ 460;25.5;Pologne;2108x1048x35;143.0
Cortex N-HJT bifacial 455-470W;0.380;HJT, Bifacial;20.93 ~ 21.62;455 ~ 470;27.5;États-Unis;2094x1038x30;172.9
JD585-610-DE21M(19);0.214;Monocristallin;20.7 ~ 21.6;585 ~ 610;30.5;Chine;2172x1303x35;125.19
Full Black/Black Frame 400W-410 Watt-...;0.251;PERC;20.5 ~ 22.15;400 ~ 600;21.68;Chine;1722x1134x30;100.4
RS8I-M 535-560W;0.229;Monocristallin;20.69 ~ 21.66;535 ~ 560;29;Chine;2279x1134x35;122.515
FDS-M10M-72-550;0.208;Monocristallin;20.54 ~ 21.31;530 ~ 550;38;Chine;2278x1133x35;110.24
UL-365-375-120 (Half-cut);0.236;Monocristallin;19.73 ~ 20.27;365 ~ 375;20.2;Chine;1765x1048x35;86.14
LONGi SolarLR5-72HPH 535-555M;0.236;Monocristallin;20.9 ~ 21.7;540 ~ 560;27.5;Chine;2278x1134x35;127.44
KensolKS400M-SH;0.300;Monocristallin;21.3;400;19;Pologne;1646x1140x30;120.0
AOX-54M10HC400-415W;0.229;PERC;20.5 ~ 21.3;400 ~ 415;20.5;Chine;1722x1134x35;91.60000000000001
AE MD-144BD 535-550W Double Glass;0.263;Bifacial;20.73 ~ 21.31;535 ~ 550;33;Allemagne;2278x1133x35;140.705
GPNE-S108/M10H 390-410W;0.249;Monocristallin;19.9 ~ 21;390 ~ 410;22.1;Chine;1724x1134x35;97.11
EVVO - V - Series - 72M (PERC);0.238;PERC;18.3 ~ 19.1;355 ~ 370;22.5;Inde;1956x992x40;84.49
YH420-450W-36M;0.224;Monocristallin;19.32 ~ 20.7;420 ~ 450;24;Chine;2094x1038x35;94.08
JST-G12-M-55-MH- (540-560)W;0.227;Monocristallin;20.7 ~ 21.4;540 ~ 560;29;Chine;2384x1096x35;122.58
SKT390-415M10;0.230;Monocristallin;20 ~ 21.3;390 ~ 415;20.5;Chine;1722x1134x30;89.7
ESPHSC 425-450M;0.241;Monocristallin;19.55 ~ 20.7;425 ~ 450;24;Chine;2094x1038x35;102.425
Hyundai Energy SolutionsHiE-S410-420SI;0.380;PERC;19.7 ~ 20.2;410 ~ 420;24;Pologne;1942x1069x40;155.8
(Shingled) ECO-480-500M-72SB;0.300;Monocristallin;20.5 ~ 21.33;480 ~ 500;25;Chine;2056x1140x35;144.0
Saturn SS8-72HD 530~555M;0.238;PERC, Bifacial;20.45 ~ 21.42;530 ~ 555;31.6;Chine;2285x1134x35;126.14
AU-545W-36MH;0.267;Monocristallin;21.32;545;28.4;Chine;2256x1133x35;145.51500000000001
LF670M12-66H;0.227;Monocristallin;20.92 ~ 21.57;650 ~ 670;34;Chine;2384x1303x35;147.55
FLSU-530-545M;0.265;Monocristallin;20.51 ~ 21.09;530 ~ 545;28.5;Chine;2279x1134x35;140.45000000000002
JS210MHC132 650-670W;0.243;Monocristallin;20.9 ~ 21.6;650 ~ 670;34;Chine;2384x1303x35;157.95
G10M450-60H-V;0.234;Monocristallin;20.8;450;23.9;Chine;1910x1134x30;105.30000000000001
DAH SolarDHM-72X10/BF/FS 540~555W;0.312;PERC;20.89 ~ 21.48;540 ~ 555;29;Pologne;2279x1134x35;168.48
HRAP-108H400-420M10;0.232;Monocristallin;20.46 ~ 21.48;400 ~ 420;21.5;Chine;1724x1134x30;92.80000000000001
530W~545W Bifacial MONO PERC CSP18-72...;0.238;PERC, Bifacial;20.5 ~ 21;530 ~ 545;31.5;Chine;2285x1134x35;126.14
SF-M18/144 570-580W;0.269;Monocristallin;22.07 ~ 22.45;570 ~ 580;28;Chine;2278x1134x35;153.33
Puma RCM-450-460-SBML;0.228;Bifacial, PERC;20 ~ 20.5;450 ~ 460;24.5;France;1969x1140x35;102.60000000000001
RS 7I-M 425-460W;0.209;Monocristallin;19.55 ~ 21.16;425 ~ 460;25;Chine;2094x1038x35;88.825
HS144-M 420-450W;0.195;Monocristallin;19.15 ~ 20.28;420 ~ 450;25;Chine;2115x1052x40;81.9
Iberian SolarIBS144M -450BF Black Frame;0.270;PERC;20.58;450;24;Espagne;2102x1040x35;121.50000000000001
MONO PERC 430W-450W 144HALF-CELLS (16...;0.255;Monocristallin;19.5 ~ 20.4;430 ~ 450;24;Chine;2095x1039x35;109.65
DHT-M60X10/FS-450-470W;0.252;Monocristallin;20.85 ~ 21.78;450 ~ 470;23.5;Chine;1903x1134x30;113.4
NS-450S6-460S6;0.224;HJT, Bifacial;23.02 ~ 23.8;450 ~ 460;24;Chine;2279x1134x35;100.8
Twin 2.0 JC430-450S-Abcp 1500V;0.253;Monocristallin;19.78 ~ 20.7;430 ~ 450;24;Chine;2115x1052x35;108.79
TD-(530-550)MC-144HC;0.198;PERC;20.56 ~ 21.28;530 ~ 550;26.5;Chine;2279x1134x35;104.94000000000001
OLV-335-345-60M-HB9H;0.230;Monocristallin;19.8 ~ 20.4;335 ~ 345;19;Chine;1692x1002x35;77.05
