ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
210 MBB Half-cell Mono Perc 645W~665W;0.238;PERC;20.8 ~ 21.5;645 ~ 665;33.8;Chine;2384x1303x35;153.51
SYM120-6-325M-340M;0.229;PERC;19.3 ~ 20.2;325 ~ 340;19.5;Chine;1689x996x35;74.425
TeraMaxST2-M54HS 395-410W;0.233;Monocristallin;20.2 ~ 21;395 ~ 410;21;Chine;1722x1134x30;92.03500000000001
G10M500-66H-V;0.238;Monocristallin;21;500;26.1;Chine;2094x1134x35;119.0
ALFA 480;0.330;Monocristallin;21.7;480;22.9;Italie;1909x1134x35;158.4
AE HM6-60 315-330W Full Black;0.314;PERC;18.99 ~ 19.9;315 ~ 330;18.5;Allemagne;1665x996x35;98.91
P6-120-125;0.229;Polycristallin;--;120 ~ 125;9;Royaume-Uni;1210x670x30;27.48
All-Black HJT Glass Module 全黑异质结玻璃太阳能组件;0.562;HJT, Bifacial;24;321;--;Chine;1683x980x4;180.40200000000002
M144 HC 450W-455W/MB;0.214;Monocristallin;20.7 ~ 20.9;450 ~ 455;23.5;Chine;2018x1048x35;96.3
XDG250-290W-60M;0.333;Monocristallin;15.36 ~ 17.83;250 ~ 290;18;Chine;1640x992x40;83.25
MONO PERC 350W-360W 120HALF-CELLS ALL...;0.252;Monocristallin;18.73 ~ 19.27;350 ~ 360;20;Chine;1755x1038x35;88.2
JAM72S20 445-470MR;0.248;PERC;20.7;460;24.7;Chine;2112x1052x35;114.08
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W;0.308;Monocristallin;21 ~ 22.02;410 ~ 430;22;Pologne;1722x1134x30;126.28
HRAP-144H440-460M6;0.232;Monocristallin;20.24 ~ 21.16;440 ~ 460;23;Chine;2094x1038x35;102.08
IBS60P 265-285W;0.300;Polycristallin;16.29 ~ 17.52;265 ~ 285;18.5;Espagne;1640x992x35;79.5
LS430-450HC;0.240;PERC;19.7 ~ 20.6;430 ~ 450;24;Arménie;2108x1048x40;103.2
PIX P2 54 230-265W;0.276;Polycristallin;15.55 ~ 17.91;230 ~ 265;17;Inde;1496x989x35;63.480000000000004
TW-E-M54H(V)-395-415W;0.254;PERC;20.22 ~ 21.31;395 ~ 415;20.2;Chine;1722x1134x30;100.33
"Mono 6"" 60 cells 250W-270W";0.152;Monocristallin;15.32 ~ 16.53;250 ~ 270;20;Chine;1640x992x40;38.0
P6-325-340;0.200;Polycristallin;--;325 ~ 340;22.8;Chine;1956x992x40;65.0
MP-240W-260W;0.219;Monocristallin;19.9 ~ 20.5;240 ~ 260;15;Chine;1480x992x35;52.56
JMPV-X1/78-580-590;0.258;PERC, Bifacial;20.75 ~ 21.11;580 ~ 590;31.6;Chine;2465x1134x35;149.64000000000001
HS-M182H660;0.200;Polycristallin;21;455;24;Chine;1908x1134x35;91.0
Mono 285W;0.271;Monocristallin;17.8;285;17.5;Chine;1640x992x40;77.235
DAH SolarDHM-60X10/FS(BW) 445~460W;0.298;Monocristallin;20.62 ~ 21.32;445 ~ 460;23.8;Pologne;1903x1134x32;132.60999999999999
Virtus II Mono JC300-320S-24/Bbw 1000V;0.209;Monocristallin;18.45 ~ 19.67;300 ~ 320;19;Chine;1640x992x35;62.699999999999996
DC325-345P-72;0.248;Polycristallin;16.74 ~ 17.77;325 ~ 345;21.5;Chine;1957x992x35;80.6
JD255-265-60P Frameless;0.214;Polycristallin;15.8 ~ 16.4;255 ~ 265;23;Chine;1634x986x6;54.57
QS120M 305-325W;0.209;PERC;18.3 ~ 19.5;305 ~ 325;18;Chine;1685x992x35;63.745
FCM-144BL 390-410W;0.229;Monocristallin;19.4 ~ 20.4;390 ~ 410;22.5;Royaume-Uni;2010x1000x35;89.31
SYM144-6-395M-415M;0.230;PERC;19.7 ~ 20.7;395 ~ 415;23;Chine;2015x996x40;90.85000000000001
BR-M530-550W;0.218;PERC;20.5 ~ 21.3;530 ~ 550;28.6;Chine;2279x1134x35;115.54
LKS-MN160W;0.571;Monocristallin;21;165;2.8;Chine;1200x650x5;94.21499999999999
GPNE-S72 360-380W;0.225;Monocristallin;18.5 ~ 19.5;360 ~ 380;22.1;Chine;1960x992x40;81.0
M10 Half-cell 530-550W;0.219;PERC;20.5 ~ 21.3;530 ~ 550;28;Chine;2278x1133x35;116.07
SL60P 255-270W;0.219;Polycristallin;15.6 ~ 16.5;255 ~ 270;19.3;Chine;1650x992x40;55.845
CHN72M(BK) 330-355;0.165;Monocristallin;17.1 ~ 18.39;330 ~ 355;23;Chine;1950x990x40;54.45
JY4M530-550H72(H);0.241;Monocristallin;20.55 ~ 21.33;530 ~ 550;28;Chine;2256x1133x35;127.72999999999999
Jsun 520-550;0.229;Monocristallin;20.1 ~ 21.3;520 ~ 550;28.9;Chine;2278x1134x35;119.08
LONGi SolarLR5-54HPH 405-425M;0.300;Monocristallin;20.7 ~ 21.8;405 ~ 425;20.8;Allemagne;1722x1134x30;121.5
SS6-72HS 430~455M;0.244;PERC;19.75 ~ 20.9;430 ~ 455;27;Chine;2095x1039x30;104.92
LONGi SolarLR4-72HPH 445-465M;0.355;Monocristallin;20.5 ~ 21.4;445 ~ 465;24.3;Italie;2094x1038x35;157.975
HF72M-320-380;0.238;Monocristallin;16.49 ~ 19.58;320 ~ 380;23;Chine;1956x992x40;76.16
RS-M595-605H120G12;0.248;PERC;21 ~ 21.4;595 ~ 605;30.9;Chine;2172x1303x35;147.56
LF355-370M8-60H;0.219;Monocristallin;19 ~ 19.8;355 ~ 370;20.5;Chine;1776x1052x35;77.745
LS430-450BL;0.330;Monocristallin;19.7 ~ 20.6;430 ~ 450;24;Arménie;2108x1048x40;141.9
HS-M210H666;0.219;Polycristallin;21.7;675;35.7;Chine;2385x1303x35;147.825
SFXXX-132M12 645-675W;0.247;Monocristallin;20.7 ~ 21.7;645 ~ 675;35.7;Chine;2384x1303x35;159.315
AI-72MG1-380-405;0.246;Monocristallin;19.16 ~ 20.42;380 ~ 405;--;Chine;1979x1002x40;93.48
TW-E-M72H(V)-530-550W;0.246;PERC;20.51 ~ 21.31;530 ~ 550;27;Chine;2279x1134x35;130.38
Bilateral - 530-545 BIificial Modules;0.281;Monocristallin;22;530 ~ 545;32.3;Chine;2256x1133x35;148.93
SKT430~450M6;0.248;PERC;19.8 ~ 20.7;430 ~ 450;23.3;Chine;2094x1038x35;106.64
G10M100-36;0.271;Monocristallin;--;100;6.07;Chine;720x770x30;27.1
XDG300-350W-72M;0.333;Monocristallin;15.46 ~ 18;300 ~ 350;22;Chine;1956x992x45;99.9
AE HM6-72_385-395W Full Black;0.310;PERC;19.53 ~ 20.04;380 ~ 395;21;Allemagne;1956x992x40;117.8
FDS200-24M;0.246;Monocristallin;18;200;14.7;Chine;1560x700x35;49.2
HW-M360H 310-330;0.238;Monocristallin;18.7 ~ 19.9;310 ~ 330;17.8;Chine;1665x996x35;73.78
YS315-335SP;0.227;Polycristallin;16.2 ~ 17.2;315 ~ 335;22;Chine;1957x992x40;71.505
LONGi SolarLR5-72HPH 535-555M;0.330;Monocristallin;20.9 ~ 21.7;540 ~ 560;27.5;Italie;2278x1134x35;178.20000000000002
Poly 170W (36 Cells);0.286;Polycristallin;15.75;170;12;Inde;1490x670x35;48.62
CECEP SolarCEC6-72-MHV 540-550W;0.265;Monocristallin;20.9 ~ 21.3;540 ~ 550;28.3;Espagne;2279x1134x35;143.1
HRAP-132H485-505M10;0.232;Monocristallin;20.4 ~ 21.3;485 ~ 505;26.3;Chine;2094x1134x35;112.52000000000001
Puma RCM-455-475-SML;0.245;PERC;20.3 ~ 21.2;455 ~ 475;24.5;France;1969x1140x35;111.475
AS-8M132-HC 640-665;0.237;PERC;20.6 ~ 21.41;640 ~ 665;34;Chine;2384x1303x35;151.68
Virtus II 5BB JC360-380S-24/Abpw 1500V;0.224;Monocristallin;18.57 ~ 19.6;360 ~ 380;22;Chine;1956x992x40;80.64
KE-60MD 355-375;0.238;PERC;19.3 ~ 20.6;355 ~ 375;19.9;Chine;1740x1030x32;84.49
ALFA 490;0.340;Monocristallin;21.82;490;22.9;Italie;1909x1134x35;166.60000000000002
"Mono 6"" 60 cells Black Series 240W-260W";0.152;Monocristallin;14.8 ~ 16;240 ~ 260;20;Chine;1640x992x40;36.48
PST-F300W;0.305;PERC;19.3;300;6.2;Chine;1680x920x3;91.5
Light-Weight Flexible TS170W-LW;0.492;Monocristallin;--;170;3.3;Chine;1520x680x2.4;83.64
JMPV-XV2/78-580-590;0.259;PERC, Bifacial;20.7 ~ 21.06;580 ~ 590;35.3;Chine;2471x1134x30;150.22
SE180M(24)F Black - SE200M(24)F Black;0.190;Monocristallin;14.1 ~ 15.7;180 ~ 200;15.5;Allemagne;1580x808x35;34.2
Jinko SolarTiger Pro 72HC-BDVP 530-550W;0.289;Bifacial;20.55 ~ 21.29;530 ~ 550;34.3;Pologne;2274x1134x30;153.17
SW-645-670W-132;0.219;Monocristallin;20.8 ~ 21.6;645 ~ 670;34.5;Chine;2384x1303x35;141.255
ONYX ES Series 530-560W;0.229;PERC;20.51 ~ 21.73;530 ~ 560;28;Chine;2279x1134x35;121.37
210 MBB Bifacial Half-cell Mono Perc ...;0.248;PERC;20.6 ~ 21.2;640 ~ 660;38.7;Chine;2384x1303x35;158.72
RMHB60-320~335S1;0.242;Bifacial, PERC;18.96 ~ 19.85;320 ~ 335;19;Belgique;1704x1008x35;77.44
TeraMaxST2-M72HS 535-550W;0.233;Monocristallin;20.7 ~ 21.3;535 ~ 550;28;Chine;2278x1134x35;124.655
Mono 120-125;0.267;Monocristallin;16.8 ~ 17.8;110 ~ 120;10.3;Chine;1185x670x30;29.37
JFS2-132-18X 475-495W;0.209;PERC;20.2 ~ 21.1;475 ~ 495;30.1;Chine;2073x1133x35;99.27499999999999
TPL M-36 Series 140W-165W;0.171;Monocristallin;14.12 ~ 16.64;140 ~ 165;10.8;Chine;1480x670x350;23.94
Iberian SolarIBS72M All Black 380-390W;0.330;PERC;20.09;390;21;Espagne;1956x992x40;128.70000000000002
DAH SolarDHM-72L9-445~455W;0.286;PERC;20.47 ~ 20.93;445 ~ 455;23.5;Pologne;2094x1038x30;127.27
Coretx P1 Series 330-350W;0.380;Monocristallin;19.5 ~ 20.5;330 ~ 350;19;États-Unis;1690x1002x30;125.4
RL300-340HP-72;0.229;Polycristallin;15.46 ~ 17.52;300 ~ 340;22;Chine;1956x992x40;68.7
Series 4 HT-144 530-550 Half-Cell;0.259;Monocristallin;20.51 ~ 21.28;530 ~ 550;28.5;Chine;2279x1134x35;137.27
Star Series NKM-120 355-375 Bifacial;0.224;Bifacial;19.5 ~ 20.6;355 ~ 375;23.5;Chine;1755x1038x30;79.52
SP-FLEX 135;0.743;Monocristallin;18.5;135;2.5;Chine;1315x540x2.5;100.30499999999999
166Series 430-450;0.265;Bifacial;19.8 ~ 20.7;430 ~ 450;27.5;Chine;2094x1038x30;113.95
MP-270W-290W;0.219;Monocristallin;20.2 ~ 20.8;270 ~ 290;18;Chine;1640x992x35;59.13
IBS72M 325-345W;0.285;Monocristallin;16.8 ~ 17.8;325 ~ 345;23;Espagne;1956x992x40;92.62499999999999
SRS P60-265-280W;0.278;Polycristallin;16.32 ~ 17.15;265 ~ 280;25;Inde;1670x1006x35;73.67
Hyundai Energy SolutionsHiE-S390-400VG;0.390;PERC;19.9 ~ 20.4;390 ~ 400;22;Pologne;1719x1140x35;152.1
TM Series 530-550W;0.234;PERC;20.56 ~ 21.28;530 ~ 550;26.5;Espagne;2279x1134x35;124.02000000000001
INE-360-380-72M;0.267;PERC;18.55 ~ 19.58;360 ~ 380;22.5;Chine;1956x992x40;96.12
SAT-6PA(-HV) 325-340W;0.229;Polycristallin;16.75 ~ 17.52;325 ~ 340;22;Chine;1970x992x40;74.425
GS60M-440-460;0.232;Monocristallin;20.39 ~ 21.32;440 ~ 460;24;Chine;1909x1134x35;102.08
MONO PERC 530W-550W 144HALF-CELLS (18...;0.243;Monocristallin;20.51 ~ 21.28;530 ~ 550;29;Chine;2278x1133x35;128.79
M10 Series MYM1072-530-550W;0.237;Monocristallin;20.54 ~ 21.31;530 ~ 550;28;Chine;2278x1133x35;125.61
MS M-72p 395-415W;0.248;PERC;19.71 ~ 20.71;395 ~ 415;22.5;Chine;2000x1002x40;97.96
Trina SolarVertex S TSM-DE09.08 390-405W;0.307;Monocristallin;20.3 ~ 21.1;390 ~ 405;21;Pologne;1754x1096x30;119.73
SonnenstromfabrikExcellent Glass/Glass 320-330 M60 bal...;0.280;Monocristallin;19 ~ 19.6;320 ~ 330;20;Allemagne;1693x993x4.5;89.60000000000001
REESUN120H-166M-9BB 350-380W;0.262;PERC;19.21 ~ 20.86;350 ~ 380;21;Chine;1755x1038x35;91.7
SKT110-125M6-12;0.286;Monocristallin;15.44 ~ 16.78;110 ~ 125;7.5;Chine;1000x665x30;31.459999999999997
PIX P2 60 260-295W;0.276;Polycristallin;15.9 ~ 18.03;260 ~ 295;19;Inde;1655x989x35;71.76
HW-M372H 380-400;0.229;Monocristallin;19.3 ~ 20.3;380 ~ 400;21.5;Chine;1979x996x35;87.02000000000001
TPL M-48 Series 200W-225W;0.171;Monocristallin;15.27 ~ 17.18;200 ~ 225;15;Chine;1320x992x35;34.2
540W Mono;0.271;Monocristallin;20.9;540;28.6;Chine;2278x1134x35;146.34
REESUN120HB-166M-9BB 350-375W;0.262;PERC;19.21 ~ 20.59;350 ~ 375;23.5;Chine;1755x1038x30;91.7
PIX P2 66 290-325W;0.276;Polycristallin;16.37 ~ 18.15;290 ~ 325;20;Inde;1814x989x35;80.04
IBS72P 310-330W;0.290;Polycristallin;15.98 ~ 17.01;310 ~ 330;22.5;Espagne;1956x992x40;89.89999999999999
JD260-270-60P;0.214;Polycristallin;16 ~ 16.6;260 ~ 270;18.2;Chine;1640x992x35;55.64
182 series Mono Half -cut 535W-545W/ 144;0.227;Monocristallin;20.9 ~ 21.3;535 ~ 545;32.5;Chine;2278x1134x35;121.44500000000001
Cortex P1 Series 330-345W Ultra Black;0.380;PERC;18.8 ~ 20.56;330 ~ 345;19;États-Unis;1690x1002x30;125.4
HF96M-440-480;0.219;Monocristallin;17.95 ~ 19.51;440 ~ 480;28;Chine;1956x1310x40;96.36
6M-100;0.257;Monocristallin;19.3;100;6.9;Chine;920x670x30;25.7
MSMDxxxM2-30 300W-320W;0.300;Monocristallin;18.3 ~ 19.5;300 ~ 320;18.3;Allemagne;1640x992x40;90.0
JMPV-XV2/72-535-545;0.259;PERC, Bifacial;20.65 ~ 21.03;535 ~ 545;32.7;Chine;2285x1134x30;138.565
CSI SolarHiKu CS3L-370-390MS;0.310;PERC;20 ~ 21.1;370 ~ 390;20.5;Espagne;1765x1048x35;114.7
YS310-330SM/PERC;0.195;PERC;18.8 ~ 20;310 ~ 330;18.2;Chine;1650x992x35;60.45
LKS-MN120;0.276;Monocristallin;21;125;2.6;Chine;1200x520x4;34.5
SP-FLEX 160;0.743;Monocristallin;19;160;2.68;Chine;1060x796x2.5;118.88
ONYX ES Series 530-560W Bifacial;0.233;Bifacial, PERC;20.51 ~ 21.73;530 ~ 560;31.8;Chine;2279x1134x30;123.49000000000001
Virtus II JC275-295M-24/Bbw 1000V;0.210;Polycristallin;16.9 ~ 18.13;275 ~ 295;19;Chine;1640x992x35;57.75
JY60P-H 280-295;0.233;Polycristallin;16.6 ~ 17.5;280 ~ 295;18.7;Chine;1686x1000x35;65.24000000000001
MONO PERC 485W-510W 132HALF-CELLS (18...;0.243;Monocristallin;20.42 ~ 21.85;485 ~ 510;26;Chine;2094x1134x30;117.855
XDG85-105W-36P;0.314;Polycristallin;12.44 ~ 15.36;100 ~ 105;7.5;Chine;1020x670x35;31.4
G10M120-72;0.271;Monocristallin;--;120;7.34;Chine;875x770x30;32.52
M3 Series MYM3120-325-345W;0.250;Monocristallin;19.26 ~ 20.45;325 ~ 345;19;Chine;1684x1002x35;81.25
TM Series 650-670W;0.242;PERC;20.9 ~ 21.6;650 ~ 670;33.5;Espagne;2384x1303x35;157.29999999999998
RS6C-M 250-275W;0.236;Monocristallin;15.37 ~ 16.9;250 ~ 275;19;Chine;1640x992x40;59.0
GPNE-S72/FNH 390-410W;0.210;Monocristallin;19.4 ~ 20.4;390 ~ 410;23;Chine;2008x1002x40;81.89999999999999
AI-72P-325-350;0.221;Polycristallin;16.7 ~ 18;325 ~ 350;--;Chine;1956x992x35;71.825
Poly156.75 270-295;0.253;Polycristallin;16.6 ~ 18.13;270 ~ 295;18;Chine;1640x992x35;68.31
Poly 100-120;0.257;Polycristallin;16.8 ~ 17.2;100 ~ 120;8.7;Chine;1000x670x30;25.7
Poly 100-110W(72 Cells);0.295;Polycristallin;14.46 ~ 15.91;100 ~ 110;7.8;Inde;1010x665x35;29.5
QS72P 320-340W;0.209;Bifacial, PERC;16.4 ~ 17.4;320 ~ 340;37.5;Chine;1971x992x40;66.88
PST-P60-255W-280W;0.181;Polycristallin;15.5 ~ 16.1;255 ~ 265;23;Chine;1664x998x25;46.155
LF305-315M6-60BF;0.229;Bifacial;18.37 ~ 18.97;305 ~ 315;25;Chine;1664x998x25;69.845
TW-F-M60H(V)-590-610W;0.250;PERC;20.84 ~ 21.55;590 ~ 610;29.9;Chine;2172x1303x35;147.5
INE-315-335-60ML;0.267;PERC;18.88 ~ 20.08;315 ~ 335;19;Chine;1665x1002x35;84.105
SKT460~480M6;0.248;PERC;21.2 ~ 22.1;460 ~ 480;27;Chine;2094x1038x30;114.08
DAH SolarDHM-66L9(BW) 405~420W;0.287;PERC;20.28 ~ 21.03;405 ~ 420;22;Pologne;1924x1038x30;116.23499999999999
GPM-530-550W;0.209;Monocristallin;20.5 ~ 21.3;530 ~ 550;--;Chine;2279x1134x35;110.77
M6-260-300;0.208;Monocristallin;--;260 ~ 300;18.8;Chine;1640x992x40;54.08
RMH72-525~550S1;0.248;PERC;20.3 ~ 21.3;525 ~ 550;28.6;Belgique;2279x1134x35;130.2
GS60M-580-600;0.232;Monocristallin;20.5 ~ 21.2;580 ~ 600;35.3;Chine;2172x1303x35;134.56
"Mono 6"" 72 cells 295W-315W";0.152;Monocristallin;15.24 ~ 16.3;295 ~ 315;23.5;Chine;1956x992x45;44.839999999999996
BR-M580-600W;0.221;PERC;20.5 ~ 21.2;580 ~ 600;31;Chine;2172x1303x35;128.18
Light-Weight Flexible TS100W-LW;0.539;Monocristallin;--;100;2.2;Chine;1230x520x2.4;53.900000000000006
Jinko SolarTiger Pro 60HC 440-460W;0.293;Monocristallin;20.39 ~ 21.32;440 ~ 460;24.2;Pologne;1903x1134x30;128.92
AE P6-36 165-170W;0.283;Polycristallin;16.64 ~ 17.14;165 ~ 170;10.8;Allemagne;1480x670x35;46.69499999999999
MS M-60p 325-345W;0.248;PERC;19.7 ~ 20.91;325 ~ 345;19;Chine;1650x1000x35;80.6
Hyundai Energy SolutionsHiE-S390-400VG;0.310;PERC;19.9 ~ 20.4;390 ~ 400;22;Pologne;1719x1140x35;120.9
RS-M670-700H120G12;0.252;PERC;21.6 ~ 22.5;670 ~ 700;33.6;Chine;2384x1303x35;168.84
Puma RCM-530-555-SMS;0.238;PERC;20.6 ~ 21.6;530 ~ 555;28;France;2355x1090x35;126.14
Jsun 290;0.200;Monocristallin;17.46;290;--;Chine;--;58.0
SS175-205-72M;0.257;Monocristallin;13.7 ~ 16;175 ~ 205;15.5;Chine;1580x808x35;44.975
SKT110-125M6-12;0.286;Monocristallin;15.44 ~ 16.78;110 ~ 125;7.5;Chine;1000x665x30;31.459999999999997
SE235-265M-33/D Black;0.190;Monocristallin;13.9 ~ 15.7;235 ~ 265;21;Allemagne;1590x1064x50;44.65
CHN60M(M156) 280-305;0.162;Monocristallin;17.25 ~ 18.79;280 ~ 305;19;Chine;1640x990x35;45.36
SYM156-6-425M-445M;0.233;PERC;19.6 ~ 20.5;425 ~ 445;25.5;Chine;2178x996x40;99.025
MP-320W-350W;0.219;Monocristallin;20.2 ~ 21.1;320 ~ 350;21;Chine;1956x992x35;70.08
DC10-200M-36;0.305;Monocristallin;12.6 ~ 20.03;100 ~ 200;11.5;Chine;1490x670x35;30.5
HRAP-156H570-590M10;0.232;Monocristallin;20.34 ~ 21.05;570 ~ 590;31;Chine;2474x1134x35;132.24
AstronergyAstroSemi CHSM72M-HC 525W-545W;0.248;Monocristallin;20.5 ~ 21.3;525 ~ 545;27.2;Espagne;2256x1133x35;130.2
ALFA 500;0.350;Monocristallin;21.9;500;22.9;Italie;1909x1134x35;175.0
SF-M18/144 540-560W;0.244;Monocristallin;20.9 ~ 21.7;540 ~ 560;31;Chine;2279x1134x35;131.76
SL5M-72 190-205W;0.248;Monocristallin;--;190 ~ 205;15;Chine;1580x808x35;47.12
Spirit Series NKM-144 530-550 Bifacial;0.224;Bifacial;20.5 ~ 21.3;530 ~ 550;32.2;Chine;2276x1134x35;118.72
HS-M166H660;0.209;Polycristallin;20.9;380;20.6;Chine;1755x1038x35;79.42
Hyundai Energy SolutionsHiE-S470-480VI;0.320;PERC;20.1 ~ 20.5;470 ~ 480;25;Pologne;2056x1140x35;150.4
AS-7M108-HC 400-415;0.237;PERC;20.49 ~ 21.25;400 ~ 415;21.5;Chine;1722x1134x35;94.8
JFS3-110-210 535-555W;0.206;PERC;20.5 ~ 21.2;535 ~ 555;28.6;Chine;2384x1096x35;110.21
Saturn SS8-60HD 435~460M;0.249;PERC, Bifacial;20.03 ~ 21.18;435 ~ 460;26.4;Chine;1915x1134x35;108.315
RL320-345HM-120;0.190;Monocristallin;18.94 ~ 20.45;320 ~ 345;--;Chine;1684x1002x35;60.8
G12 Mono 385-405W;0.219;Monocristallin;20 ~ 21;385 ~ 405;21.5;Chine;1760x1096x35;84.315
TM Series 360-375 BIF;0.247;Bifacial, PERC;19.76 ~ 20.59;360 ~ 375;18.5;Espagne;1755x1038x30;88.92
QS60P 265-285W;0.209;Bifacial, PERC;16.1 ~ 17.3;265 ~ 285;32;Chine;1662x992x40;55.385
KensolKS395M-SH;0.300;Monocristallin;21.1;395;19;Pologne;1646x1140x30;118.5
MS HC P-144p 370-390W;0.227;Polycristallin;18.33 ~ 19.33;370 ~ 390;22.5;Chine;2014x1002x40;83.99000000000001
TPL M-72 Series 300W-325W;0.171;Monocristallin;15.5 ~ 16.8;300 ~ 325;23;Chine;1950x992x40;51.300000000000004
MSMDxxxM3-30 300W-320W;0.300;Monocristallin;18.3 ~ 19.5;300 ~ 320;19;Allemagne;1665x1002x40;90.0
HRAP-110H540-560M12;0.232;Monocristallin;20.7 ~ 21.4;540 ~ 560;28.6;Chine;2384x1096x35;125.28
SL60P-36 120-150W;0.238;Polycristallin;--;120 ~ 150;11;Chine;1480x670x35;28.56
QSUN-120MS 360-380w;0.251;Monocristallin;19.8 ~ 20.9;360 ~ 380;19.5;Chine;1755x1038x30;90.36
JFS3-120-210 585-605W;0.206;PERC;20.7 ~ 21.4;585 ~ 605;30.9;Chine;2172x1303x35;120.50999999999999
TR144-415M;0.194;Monocristallin;20.63;415;23.5;Chine;2008x1002x40;80.51
DAH SolarDHM-T72X10/FS 545~560W;0.294;Monocristallin;21.09 ~ 21.67;545 ~ 560;29;Pologne;2279x1134x32;160.23
HW-M6/120H 350-370;0.214;Monocristallin;18.9 ~ 20;350 ~ 370;20.5;Chine;1755x1038x35;74.89999999999999
Puma RCM-635-660-SMT;0.245;PERC;20.7 ~ 21.5;635 ~ 660;34;France;2355x1303x35;155.575
Virtus II JC325-345M-24/Abw 1000V;0.210;Polycristallin;16.75 ~ 17.78;325 ~ 345;23;Chine;1956x992x40;68.25
JD310-320-72P;0.214;Polycristallin;16 ~ 16.5;310 ~ 320;25.8;Chine;1956x992x40;66.34
INE-380-400-72ML;0.267;PERC;19.2 ~ 20.21;380 ~ 400;22.8;Chine;1979x1002x40;101.46000000000001
AI-120HCG1-325-350 5BB;0.252;Monocristallin;19.3 ~ 20.8;325 ~ 350;--;Chine;1696x1002x35;81.9
AE SolarAE MC-144 440-450W;0.298;PERC;20.24 ~ 20.7;440 ~ 450;23;Pologne;2094x1038x35;131.12
PIX MP3 36 165-200W;0.355;PERC;16.1 ~ 19.51;165 ~ 200;11;Inde;1512x678x30;58.574999999999996
PST-36P/100-200W Poly&Mono;0.192;Polycristallin;14.3 ~ 16.3;140 ~ 160;12;Chine;1480x670x35;26.88
HF36P-100-120;0.267;Polycristallin;17.1 ~ 18.8;100 ~ 120;8;Chine;1000x670x30;26.700000000000003
RMH78-575~600S1;0.229;PERC;20.58 ~ 21.47;575 ~ 600;32.1;Belgique;2464x1134x35;131.675
XDG130-155W-36P;0.314;Polycristallin;12.92 ~ 15.4;130 ~ 155;10.5;Chine;1480x680x35;40.82
EurenerMEPV 60 ULTRA 340-350;0.340;Monocristallin;20.29 ~ 20.98;340 ~ 350;19.5;Italie;1680x1016x35;115.60000000000001
LKS-MN150;0.286;Monocristallin;21;155;2.5;Chine;1200x650x4;44.33
M6-320-360;0.208;Monocristallin;--;320 ~ 360;22.8;Chine;1956x992x40;66.56
6M-160-180;0.248;Monocristallin;18.6 ~ 20.8;160 ~ 180;11;Chine;1480x680x30;39.68
CSI SolarHiKu7 CS7L580-610MS;0.300;PERC;20.5 ~ 21.6;580 ~ 610;31;Espagne;2172x1303x35;174.0
JMPV-XV2/66-490-500;0.259;PERC, Bifacial;20.58 ~ 21;490 ~ 500;30;Chine;2100x1134x30;126.91000000000001
PP-150W-160W;0.219;Polycristallin;17.1 ~ 18.1;150 ~ 160;10.2;Chine;1480x670x30;32.85
CHN72M(M156) 335-360;0.166;Monocristallin;17.35 ~ 18.65;335 ~ 360;23;Chine;1950x990x40;55.61
SKT430~460M6 Double glass bifacial fr...;0.248;PERC;19.8 ~ 21.2;430 ~ 460;23.3;Chine;2088x1032x5;106.64
SFED-mFLEX 100;0.476;Monocristallin;17.4;100;1.9;Chine;1060x540x3;47.599999999999994
SE235-265M-33/D;0.190;Monocristallin;13.9 ~ 15.7;235 ~ 265;21;Allemagne;1590x1064x50;44.65
DC380-400M-72;0.267;Monocristallin;19.16 ~ 20.17;380 ~ 400;22.5;Chine;1980x1002x40;101.46000000000001
BETA 415;0.320;Monocristallin;21.25;415;21;Italie;1722x1134x35;132.8
Spirit Series NKM-156 570-590 Bifacial;0.233;Bifacial;20.1 ~ 21;570 ~ 590;35;Chine;2471x1134x35;132.81
FDS280-24M310;0.205;Monocristallin;18.4 ~ 18.7;300 ~ 310;18.5;Chine;1655x1002x50;61.49999999999999
SF-M15/120 320~345W;0.247;Monocristallin;19 ~ 20.45;320 ~ 345;20;Chine;1684x1002x35;79.03999999999999
G12 Mono 480-500W;0.219;Monocristallin;19.6 ~ 20.4;480 ~ 500;27;Chine;2220x1102x35;105.12
GS66M-645-670;0.232;Monocristallin;20.8 ~ 21.4;645 ~ 670;33.9;Chine;2384x1303x35;149.64000000000001
Poly156.75 320-350;0.253;Polycristallin;16.49 ~ 18.08;320 ~ 350;22;Chine;1956x992x40;80.96000000000001
GPNE-S72 390-410W;0.210;Monocristallin;19.4 ~ 20.4;390 ~ 410;23;Chine;2008x1002x40;81.89999999999999
Jsun 285;0.190;Monocristallin;17.16;285;--;Chine;--;54.15
RL400-420HM-144;0.219;Monocristallin;20 ~ 20.9;400 ~ 420;22.5;Chine;2008x1002x35;87.6
Tiger Premium AS-6M120-HC Black 365-385W;0.237;PERC;20.01 ~ 21.1;365 ~ 385;19.5;Chine;1756x1039x30;86.505
5M Series MY5M72-195-215W;0.248;Monocristallin;15.3 ~ 16.8;195 ~ 215;15.1;Chine;1580x808x35;48.36
RS5A-M 190-210W;0.224;Monocristallin;14.88 ~ 16.45;190 ~ 210;13;Chine;1580x808x35;42.56
