ref,price by Wh,type,dimension,gamme puissance,efficacite,poids,region,prix theorique
RMH60-320~335AB1,0.256,PERC,1684x1002x35,320 ~ 335,18.96 ~ 19.85,19,Belgique,81.92
TM Series 360-375W,0.241,PERC,1755x1038x30,360 ~ 375,19.76 ~ 20.59,18.5,Espagne,86.75999999999999
CSI SolarHiKu CS3W-445-470MS,0.295,PERC,2108x1048x35,445 ~ 470,20.1 ~ 21.3,24.3,Espagne,131.275
ALFA 460,0.320,Monocristallin,1909x1134x35,460,21.25,22.9,Italie,147.20000000000002
LONGi SolarLR4-60HPB 355-375M,166,Monocristallin,1755x1038x35,355 ~ 375,19.55 ~ 20.6,19.5,France,58930.0
JA SolarJAM72D20 440-465/MB,0.310,"Bifacial, PERC",2117x1052x35,440 ~ 465,19.8 ~ 20.9,27.3,Pologne,136.4
Ogartech-LE-160W,1.32,Polycristallin,1500x665x4,160,--,6.2,Royaume-Uni,211.20000000000002
AE P6-60 280-290W,0.255,Polycristallin,1650x992x35,280 ~ 290,17.11 ~ 17.72,17.5,Allemagne,71.4
Leapton SolarLP182-M-54-MH 390-410W,0.285,Monocristallin,1724x1134x30,390 ~ 410,19.95 ~ 20.97,21.5,Pologne,111.14999999999999
FCP-PWF 300-315W,0.219,Polycristallin,1956x992x40,300 ~ 315,15.46 ~ 16.23,26.3,Royaume-Uni,65.7
ALFA 470,0.320,Monocristallin,1909x1134x35,470,21.5,22.9,Italie,150.4
JA SolarJAM60S21 365-390/MR,0.340,PERC,1769x1052x30,365 ~ 390,19.6 ~ 21,18.8,Pologne,124.10000000000001
TM Series 390-410W,0.238,PERC,1724x1134x30,390 ~ 410,19.95 ~ 20.97,21,Espagne,92.82
Jinko SolarTiger 78TR 470-490W 7RL3/7RL3-V,0.308,Monocristallin,2182x1029x35,470 ~ 490,20.93 ~ 21.82,25,Pologne,144.76
Ogartech-KY-SP-M 250W,1.44,Monocristallin,1640x992x35,250,--,15.3,Royaume-Uni,360.0
Trina SolarTSM-PC/PA05A,0.810,Polycristallin,1650x992x35,250 ~ 260,15.3 ~ 15.9,18.6,Allemagne,202.5
Q CELLSQ.peak Duo M-G11 Series 390-410 Wp,0.343,Monocristallin,1692x1134x30,390 ~ 410,20.3 ~ 21.4,21.2,Pologne,133.77
RMH60-340~355AB1,0.256,PERC,1763x1038x35,340 ~ 355,18.38 ~ 19.16,19.5,Belgique,87.04
LONGi SolarLR5-54HPH 405-425M,191,Monocristallin,1722x1134x30,405 ~ 425,20.7 ~ 21.8,20.8,France,77355.0
LONGi SolarLR4-72HPH 445-465M,0.330,Monocristallin,2094x1038x35,445 ~ 465,20.5 ~ 21.4,24.3,Italie,146.85
IBS60M 275-300W,0.285,Monocristallin,1640x992x35,275 ~ 300,16.9 ~ 18.44,18,Espagne,78.375
SE240P-20/Ac — SE270P-20/Ac,0.190,Polycristallin,1640x992x50,240 ~ 270,14.8 ~ 16.6,20,Allemagne,45.6
AE P6-72 330-345W,0.246,Polycristallin,1956x992x35,330 ~ 345,17.01 ~ 17.78,20,Allemagne,81.17999999999999
DAH SolarDHM-72L9-450W,0.200,Monocristallin,2094x1038x35,--,--,23.5,Tchèque,--
Trina SolarVertex S TSM-DE09R.05 405-425W,0.310,Monocristallin,1762x1134x30,405 ~ 425,20.3 ~ 21.3,21.8,Allemagne,125.55
Risen EnergyRSM150-8-485-510M,0.290,Monocristallin,2220x1102x35,485 ~ 510,19.8 ~ 20.8,27,Pologne,140.64999999999998
JA SolarJAM60S20 370-395/MR,0.350,Monocristallin,1769x1052x35,370 ~ 395,19.9 ~ 21.2,20.2,Italie,129.5
Jinko SolarTiger Pro 54HC 400-420W,0.300,Monocristallin,1722x1134x30,400 ~ 420,20.48 ~ 21.51,22,Allemagne,120.0
MSMDxxxM10-60 Half-cut 440W-460W,0.300,Monocristallin,1915x1133x40,440 ~ 460,20.3 ~ 21.2,24.6,Allemagne,132.0
Risen EnergyRSM40-8-390-410M,0.300,PERC,1754x1096x30,390 ~ 410,20.3 ~ 21.3,21,Italie,117.0
Puma RCM-375-400-SMK,0.255,PERC,1646x1140x35,375 ~ 400,20 ~ 21.3,20.5,France,95.625
TM Series 430-450W,0.238,PERC,2094x1038x35,430 ~ 450,19.8 ~ 20.9,25,Espagne,102.33999999999999
JolywoodJW-HD120N-375-395,0.370,Bifacial,1756x1039x30,375 ~ 395,20.55 ~ 21.65,23,Pologne,138.75
SE215E-30/E — SE245M-30/E,0.190,Monocristallin,1462x1064x50,215 ~ 245,13.8 ~ 15.7,19,Allemagne,40.85
Iberian SolarIBS72P 325-345W,0.280,Polycristallin,1956x992x35,330 ~ 340,17.01 ~ 17.52,20.5,Espagne,92.4
Ogartech-KY-SP-M-500W,0.879,Monocristallin,1956x1300x40,500,--,28,Royaume-Uni,439.5
RMH60-355~380S1,0.244,PERC,1768x1048x35,355 ~ 380,19 ~ 20.9,19.5,Belgique,86.62
LONGi SolarLR4-72HBD 440-460M,0.295,Bifacial,2094x1038x35,440 ~ 460,20.2 ~ 21.2,27.5,Pologne,129.79999999999998
SHARPNUJD450,0.345,PERC,2108x1048x35,450,20.37,25,Pologne,155.25
ALFA 480,0.330,Monocristallin,1909x1134x35,480,21.7,22.9,Italie,158.4
AE HM6-60 315-330W Full Black,0.314,PERC,1665x996x35,315 ~ 330,18.99 ~ 19.9,18.5,Allemagne,98.91
P6-120-125,0.229,Polycristallin,1210x670x30,120 ~ 125,--,9,Royaume-Uni,27.48
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W,0.308,Monocristallin,1722x1134x30,410 ~ 430,21 ~ 22.02,22,Pologne,126.28
IBS60P 265-285W,0.300,Polycristallin,1640x992x35,265 ~ 285,16.29 ~ 17.52,18.5,Espagne,79.5
DAH SolarDHM-60X10/FS(BW) 445~460W,0.298,Monocristallin,1903x1134x32,445 ~ 460,20.62 ~ 21.32,23.8,Pologne,132.60999999999999
FCM-144BL 390-410W,0.229,Monocristallin,2010x1000x35,390 ~ 410,19.4 ~ 20.4,22.5,Royaume-Uni,89.31
LONGi SolarLR5-54HPH 405-425M,0.300,Monocristallin,1722x1134x30,405 ~ 425,20.7 ~ 21.8,20.8,Allemagne,121.5
LONGi SolarLR4-72HPH 445-465M,0.355,Monocristallin,2094x1038x35,445 ~ 465,20.5 ~ 21.4,24.3,Italie,157.975
AE HM6-72_385-395W Full Black,0.310,PERC,1956x992x40,380 ~ 395,19.53 ~ 20.04,21,Allemagne,117.8
LONGi SolarLR5-72HPH 535-555M,0.330,Monocristallin,2278x1134x35,540 ~ 560,20.9 ~ 21.7,27.5,Italie,178.20000000000002
CECEP SolarCEC6-72-MHV 540-550W,0.265,Monocristallin,2279x1134x35,540 ~ 550,20.9 ~ 21.3,28.3,Espagne,143.1
Puma RCM-455-475-SML,0.245,PERC,1969x1140x35,455 ~ 475,20.3 ~ 21.2,24.5,France,111.475
ALFA 490,0.340,Monocristallin,1909x1134x35,490,21.82,22.9,Italie,166.60000000000002
SE180M(24)F Black - SE200M(24)F Black,0.190,Monocristallin,1580x808x35,180 ~ 200,14.1 ~ 15.7,15.5,Allemagne,34.2
Jinko SolarTiger Pro 72HC-BDVP 530-550W,0.289,Bifacial,2274x1134x30,530 ~ 550,20.55 ~ 21.29,34.3,Pologne,153.17
RMHB60-320~335S1,0.242,"Bifacial, PERC",1704x1008x35,320 ~ 335,18.96 ~ 19.85,19,Belgique,77.44
Iberian SolarIBS72M All Black 380-390W,0.330,PERC,1956x992x40,390,20.09,21,Espagne,128.70000000000002
DAH SolarDHM-72L9-445~455W,0.286,PERC,2094x1038x30,445 ~ 455,20.47 ~ 20.93,23.5,Pologne,127.27
IBS72M 325-345W,0.285,Monocristallin,1956x992x40,325 ~ 345,16.8 ~ 17.8,23,Espagne,92.62499999999999
Hyundai Energy SolutionsHiE-S390-400VG,0.390,PERC,1719x1140x35,390 ~ 400,19.9 ~ 20.4,22,Pologne,152.1
TM Series 530-550W,0.234,PERC,2279x1134x35,530 ~ 550,20.56 ~ 21.28,26.5,Espagne,124.02000000000001
Trina SolarVertex S TSM-DE09.08 390-405W,0.307,Monocristallin,1754x1096x30,390 ~ 405,20.3 ~ 21.1,21,Pologne,119.73
SonnenstromfabrikExcellent Glass/Glass 320-330 M60 bal...,0.280,Monocristallin,1693x993x4.5,320 ~ 330,19 ~ 19.6,20,Allemagne,89.60000000000001
IBS72P 310-330W,0.290,Polycristallin,1956x992x40,310 ~ 330,15.98 ~ 17.01,22.5,Espagne,89.89999999999999
MSMDxxxM2-30 300W-320W,0.300,Monocristallin,1640x992x40,300 ~ 320,18.3 ~ 19.5,18.3,Allemagne,90.0
CSI SolarHiKu CS3L-370-390MS,0.310,PERC,1765x1048x35,370 ~ 390,20 ~ 21.1,20.5,Espagne,114.7
TM Series 650-670W,0.242,PERC,2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.5,Espagne,157.29999999999998
DAH SolarDHM-66L9(BW) 405~420W,0.287,PERC,1924x1038x30,405 ~ 420,20.28 ~ 21.03,22,Pologne,116.23499999999999
RMH72-525~550S1,0.248,PERC,2279x1134x35,525 ~ 550,20.3 ~ 21.3,28.6,Belgique,130.2
Jinko SolarTiger Pro 60HC 440-460W,0.293,Monocristallin,1903x1134x30,440 ~ 460,20.39 ~ 21.32,24.2,Pologne,128.92
AE P6-36 165-170W,0.283,Polycristallin,1480x670x35,165 ~ 170,16.64 ~ 17.14,10.8,Allemagne,46.69499999999999
Hyundai Energy SolutionsHiE-S390-400VG,0.310,PERC,1719x1140x35,390 ~ 400,19.9 ~ 20.4,22,Pologne,120.9
Puma RCM-530-555-SMS,0.238,PERC,2355x1090x35,530 ~ 555,20.6 ~ 21.6,28,France,126.14
SE235-265M-33/D Black,0.190,Monocristallin,1590x1064x50,235 ~ 265,13.9 ~ 15.7,21,Allemagne,44.65
AstronergyAstroSemi CHSM72M-HC 525W-545W,0.248,Monocristallin,2256x1133x35,525 ~ 545,20.5 ~ 21.3,27.2,Espagne,130.2
ALFA 500,0.350,Monocristallin,1909x1134x35,500,21.9,22.9,Italie,175.0
Hyundai Energy SolutionsHiE-S470-480VI,0.320,PERC,2056x1140x35,470 ~ 480,20.1 ~ 20.5,25,Pologne,150.4
TM Series 360-375 BIF,0.247,"Bifacial, PERC",1755x1038x30,360 ~ 375,19.76 ~ 20.59,18.5,Espagne,88.92
KensolKS395M-SH,0.300,Monocristallin,1646x1140x30,395,21.1,19,Pologne,118.5
MSMDxxxM3-30 300W-320W,0.300,Monocristallin,1665x1002x40,300 ~ 320,18.3 ~ 19.5,19,Allemagne,90.0
